,Date,Year,Month,Place,Area,Location,Activity,Sex,Fatal
587,2012.03.06,2012,03,NEW ZEALAND,North Island,"Opunake, Taranake",Surfing,M,0
588,2012.03.06,2012,03,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",Diving,F,0
589,2012.03.05,2012,03,REUNION,Saint-Benoit,Port de la Marine,Others,M,0
590,2012.03.04,2012,03,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,0
591,2012.03.03,2012,03,SAUDI ARABIA,Tabuk Province,Off Duba,Surfing,M,0
592,2012.03.01,2012,03,CHILE,Antofagasta Province,Antofagasta,Fishing,M,0
593,2012.02.26,2012,02,USA,Florida,"Palm Beach Inlet, Palm Beach County",Surfing,M,0
594,2012.02.25,2012,02,AUSTRALIA,New South Wales,Broughton Island,Fishing,M,0
595,2012.02.20,2012,02,SOUTH AFRICA,Western Cape Province,Strandfontein,Fishing,,0
596,2012.02.06,2012,02,AUSTRALIA,Queensland,Wurtulla,Surfing,M,0
597,2012.01.22,2012,01,BAHAMAS,,Cat Island,Diving,M,0
598,2012.01.27,2012,01,USA,Hawaii,Lanai,Others,,0
599,2012.01.19,2012,01,AUSTRALIA,Western Australia,Coral Bay,Others,M,0
600,2012.01.18,2012,01,TAIWAN,Taitung,Taimali,Fishing,M,0
601,2012.01.18,2012,01,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,0
602,2012.01.15,2012,01,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,1
603,2012.01.13,2012,01,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,0
604,2012.01.03,2012,01,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,0
605,2012.01.02,2012,01,AUSTRALIA,Queensland,Duranbah,Fishing,M,0
