,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
2584,1986.09.00.b,1986.09.00,1986,09,Unknown,USA,Florida,"Ormond Beachaytona Beach, Volusia County",Surfing,,0
2585,1986.09.00.a,1986.09.00,1986,09,Unknown,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,,0
2586,1986.08.19,1986.08.19,1986,08,Unknown,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,,0
2587,1986.08.10,1986.08.10,1986,08,11:30,SOUTH AFRICA,Western Cape Province,Reef on seaward side of Geyser Island,Fishing,M,0
2588,1986.08.03,1986.08.03,1986,08,Unknown,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Diving,F,0
2589,1986.08.00,1986.08.00,1986,08,Unknown,FRANCE,Gulf of Lyons,Gruissan,Others,,0
2590,1986.07.26,1986.07.26,1986,07,Unknown,AUSTRALIA,Western Australia,3 km west of Rottnest Island,Fishing,,0
2591,1986.07.09,1986.07.09,1986,07,Unknown,USA,South Carolina,"Myrtle Beach, Horry County",Others,M,0
2592,1986.07.00.a,1986.07.00,1986,07,17:15,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Fishing,M,0
2593,1986.05.18,1986.05.18,1986,05,Unknown,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Diving,M,0
2594,1986.05.15,1986.05.15,1986,05,Unknown,SOUTH KOREA,,,Diving,M,1
2595,1986.04.20,1986.04.20,1986,04,Unknown,USA,Hawaii,"Kaliiwi, Kauai",Fishing,M,1
2596,1986.04.00,1986.04.00,1986,04,Unknown,SPAIN,Catalonia,Lloret-de-Mar,Diving,M,0
2597,1986.03.18,1986.03.18,1986,03,10:55,SPAIN,Cádiz,Tarifa,Surfing,M,0
2598,1986.03.15,1986.03.15,1986,03,16:15,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Others,M,0
2599,1986.03.05,1986.03.05,1986,03,Unknown,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",Surfing,M,0
2600,1986.02.18,1986.02.18,1986,02,12:00,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,0
2601,1986.02.17,1986.02.17,1986,02,18:00,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,0
2602,1986.02.07,1986.02.07,1986,02,18:30,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Swimming,M,0
2603,1986.02.06,1986.02.06,1986,02,13:30,SOUTH AFRICA,Western Cape Province,Arniston,Fishing,M,0
2604,1986.02.01,1986.02.01,1986,02,Unknown,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,M,0
2605,1986.01.12,1986.01.12,1986,01,08:35,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,0
2607,1985.12.22,1985.12.22,1985,12,Unknown,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,M,0
2608,1985.12.10,1985.12.10,1985,12,Unknown,USA,North Carolina,New Hanover County,Others,M,0
2609,1985.11.11,1985.11.11,1985,11,Unknown,AUSTRALIA,Queensland,Gladstone,Fishing,M,0
2610,1985.11.05,1985.11.05,1985,11,Unknown,USA,California,"Southeast Farallon Island, Farallon Islands",Others,,0
2611,1985.11.03,1985.11.03,1985,11,Unknown,USA,California,5 miles south of Redondo Beach,Fishing,M,0
2612,1985.10.24,1985.10.24,1985,10,08:00,SOUTH AFRICA,Eastern Cape Province,East London,Others,M,0
2613,1985.10.22,1985.10.22,1985,10,16:00,USA,California,"Point Conception, Santa Barbara County",Diving,M,0
2614,1985.10.18,1985.10.18,1985,10,Unknown,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Others,M,0
2615,1985.10.12,1985.10.12,1985,10,Unknown,USA,Hawaii,"Barbers Point, O'ahu",Diving,M,0
2616,1985.10.05,1985.10.05,1985,10,Unknown,USA,Alabama,"Gulf Shores, Baldwin County",Fishing,M,0
2617,1985.09.28,1985.09.28,1985,09,Unknown,USA,California,"Elephant Rock near Tomales Point, Marin County",Fishing,M,0
2618,1985.09.08.b,1985.09.08,1985,09,Unknown,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Swimming,M,1
2619,1985.09.08.a,1985.09.08,1985,09,15:00,USA,Florida,"Palm Beach, Palm Beach County",Diving,M,0
2620,1985.09.05,1985.09.05,1985,09,Unknown,USA,Florida,"Fort Pierce Inlet, St Lucie County",Swimming,M,0
2621,1985.08.22,1985.08.22,1985,08,Unknown,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Others,M,0
2622,1985.08.20,1985.08.20,1985,08,13:00,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
2623,1985.08.17,1985.08.17,1985,08,10:30,USA,Florida,"Bayport, Hernando County",Diving,M,1
2624,1985.07.25.b,1985.07.25,1985,07,17:00,USA,Florida,"Daytona Beach, Volusia County",Others,F,0
2625,1985.07.25.a,1985.07.25,1985,07,10:22,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
2626,1985.07.21,1985.07.21,1985,07,Unknown,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County",Fishing,,0
2627,1985.07.19,1985.07.19,1985,07,Unknown,USA,South Carolina,"Folly Beach, Charleston County",Others,F,0
2628,1985.07.00,1985.07.00,1985,07,16:00,ITALY,Sicily,Punta Secca,Others,M,0
2629,1985.05.26,1985.05.26,1985,05,Unknown,USA,California,"Long Beach, Los Angeles County",Surfing,M,0
2630,1985.05.08,1985.05.08,1985,05,Unknown,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Fishing,M,0
2631,1985.03.16,1985.03.16,1985,03,Unknown,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,0
2632,1985.03.03,1985.03.03,1985,03,12:30,AUSTRALIA,South Australia,"Wiseman’s Beach, Peake Bay, Port Lincoln",Diving,F,1
2633,1985.02.18,1985.02.18,1985,02,12:45,USA,California,"San Miguel Island, Santa Barbara County",Surfing,M,0
2634,1985.02.03,1985.02.03,1985,02,Unknown,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,M,0
2635,1985.01.27,1985.01.27,1985,01,18:30,SOUTH AFRICA,Western Cape Province,Struisbaai,Swimming,M,0
2636,1985.01.18,1985.01.18,1985,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,Others,M,1
2637,1985.01.17,1985.01.17,1985,01,18:30,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,M,0
2638,1985.01.16,1985.01.16,1985,01,Unknown,NEW ZEALAND,South Island,Christchurch,Others,,0
2639,1985.01.04,1985.01.04,1985,01,11:30,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Fishing,M,0
2640,1985.01.00.b,1985.01.00,1985,01,Unknown,NEW CALEDONIA,South Province,Amedee Island,Fishing,,0
