,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
1017,2008.06.28.c,2008.06.28,2008,06,Unknown,USA,Hawaii,"Kamilo Point, Hawai'i",Others,M,1
1018,2008.06.28.b,2008.06.28,2008,06,11:00,BAHAMAS,Abaco Islands,,Fishing,M,0
1019,2008.06.28.a,2008.06.28,2008,06,14:00,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,0
1020,2008.06.26.R,2008.06.26,2008,06,Unknown,SOUTH AFRICA,Western Cape Province,Struis Bay,Fishing,M,0
1021,2008.06.26.b,2008.06.26,2008,06,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1022,2008.06.26.a,2008.06.26,2008,06,11:15,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,0
1023,2008.06.24,2008.06.24,2008,06,Unknown,BRAZIL,Bahia,Guarajuba,Surfing,M,0
1024,2008.06.21,2008.06.21,2008,06,09:00,USA,California,"West Cove, Catalina Island",Others,F,0
1025,2008.06.20,2008.06.20,2008,06,11:10,USA,Florida,"Fernandina Beach, Nassau County",Others,F,0
1026,2008.06.11,2008.06.11,2008,06,Unknown,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,0
1027,2008.06.07,2008.06.07,2008,06,Unknown,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,0
1028,2008.06.02.R,2008.06.02,2008,06,Unknown,UNITED KINGDOM,Easter Ross,Balintore Bay,Fishing,,0
1029,2008.06.01.b,2008.06.01,2008,06,18:30,USA,South Carolina,Cherry Grove,Surfing,F,0
1030,2008.06.01.a,2008.06.01,2008,06,15:00,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,M,0
1031,2008.05.26,2008.05.26,2008,05,15:50,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,0
1032,2008.05.24.b,2008.05.24,2008,05,Unknown,BAHAMAS,Grand Bahama Island,Off West End,Others,M,0
1033,2008.05.24.a,2008.05.24,2008,05,Unknown,MEXICO,Guerro,Playa Linda,Surfing,M,0
1034,2008.05.23,2008.05.23,2008,05,Unknown,MEXICO,Guerro,Pantla Beach,Surfing,M,1
1035,2008.05.14,2008.05.14,2008,05,Unknown,FIJI,Yasawa Islands,Turtle Island,Diving,M,1
1036,2008.05.10,2008.05.10,2008,05,07:30,AUSTRALIA,Western Australia,Albany,Swimming,M,0
1037,2008.05.07.b,2008.05.07,2008,05,14:00,NEW CALEDONIA,North Province,Hienghène,Fishing,M,0
1038,2008.05.07.a,2008.05.07,2008,05,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1039,2008.05.01,2008.05.01,2008,05,Unknown,SOUTH AFRICA,,,Fishing,M,0
1040,2008.04.28.b,2008.04.28,2008,04,Unknown,MEXICO,Guerro,Troncones Beach,Surfing,M,1
1041,2008.04.28.a,2008.04.28,2008,04,11:45,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1042,2008.04.27,2008.04.27,2008,04,10:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1043,2008.04.26.b,2008.04.26,2008,04,Unknown,NEW CALEDONIA,North Province,Poindimié,Swimming,M,0
1044,2008.04.26.a,2008.04.26,2008,04,09:50,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1045,2008.04.25,2008.04.25,2008,04,07:00,USA,California,"Solana Beach, San Diego County",Swimming,M,1
1046,2008.04.20.b,2008.04.20,2008,04,08:45,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1047,2008.04.20.a,2008.04.20,2008,04,Unknown,AUSTRALIA,New South Wales,Crescent Head,Others,M,0
1048,2008.04.19.R,2008.04.19,2008,04,Unknown,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Diving,M,0
1049,2008.04.18,2008.04.18,2008,04,Unknown,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,M,1
1050,2008.04.17,2008.04.17,2008,04,11:00,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,M,0
1051,2008.04.15,2008.04.15,2008,04,15:00,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,0
1052,2008.03.28.a,2008.03.28,2008,03,Unknown,USA,Florida,"Near Cocoa Beach, Brevard  County",Others,M,0
1053,2008.04.09.R,2008.04.09,2008,04,Unknown,FIJI,,,Fishing,M,0
1054,2008.04.08.R,2008.04.08,2008,04,Unknown,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,,0
1055,2008.04.08,2008.04.08,2008,04,08:05,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Others,M,1
1056,2008.04.03,2008.04.03,2008,04,12:00,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,M,0
1057,2008.03.28.c,2008.03.28,2008,03,Unknown,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Surfing,M,0
1058,2008.03.28.b,2008.03.28,2008,03,18:50,USA,Florida,"New Smyrna Beachonce Inlet, Volusia County",Surfing,M,0
1059,2008.03.25,2008.03.25,2008,03,Unknown,USA,Florida,"Palm Beach Shores, Palm Beach County",Others,M,0
1060,2008.03.23,2008.03.23,2008,03,11:30,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,M,0
1061,2008.03.21,2008.03.21,2008,03,15:53,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Others,M,0
1062,2008.03.15,2008.03.15,2008,03,Unknown,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Others,M,0
1063,2008.03.07,2008.03.07,2008,03,08:00,USA,California,"Huntington Beach, Orange County",Surfing,M,0
1064,2008.02.24,2008.02.24,2008,02,10:00,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,1
1065,2008.02.21.R,2008.02.21,2008,02,Unknown,FRENCH POLYNESIA,Society Islands,Tahiti,Fishing,M,0
1066,2008.02.15,2008.02.15,2008,02,17:00,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,0
1067,2008.02.07,2008.02.07,2008,02,Unknown,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,0
1068,2008.02.06,2008.02.06,2008,02,Unknown,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Others,M,0
1069,2008.01.29,2008.01.29,2008,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Others,M,0
1070,2008.01.27,2008.01.27,2008,01,07:30,AUSTRALIA,Queensland,200 km east of Coolangatta ,Others,M,0
1071,2008.01.19.R,2008.01.19,2008,01,Unknown,NEW ZEALAND,South Island,Marfells Beach,Others,M,0
1072,2008.01.14,2008.01.14,2008,01,14:00,NEW ZEALAND,North Island,Omaha Beach,Others,,0
1073,2008.01.10,2008.01.10,2008,01,Unknown,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,0
1076,2007.12.21,2007.12.21,2007,12,Unknown,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,M,0
1077,2007.12.19,2007.12.19,2007,12,Unknown,BRITISH VIRGIN ISLANDS,Green Bay,,Diving,M,1
1078,2007.12.18,2007.12.18,2007,12,11:00,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,0
1079,2007.12.15,2007.12.15,2007,12,Unknown,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,0
1080,2007.12.14,2007.12.14,2007,12,20:30,AUSTRALIA,New South Wales,Bondi,Swimming,M,0
1081,2007.12.10,2007.12.10,2007,12,Unknown,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,0
1082,2007.12.09,2007.12.09,2007,12,Unknown,NEW ZEALAND,South Island,Kaikoura,Surfing,F,0
1083,2007.12.07,2007.12.07,2007,12,Unknown,BRAZIL,Pernambuco,Itamaracá,Fishing,M,0
1084,2007.11.18,2007.11.18,2007,11,Unknown,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,0
1085,2007.11.08,2007.11.08,2007,11,14:20,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,0
1086,2007.11.07,2007.11.07,2007,11,17:30,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,M,0
1087,2007.11.06,2007.11.06,2007,11,11:115,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1088,2007.11.04,2007.11.04,2007,11,09:00,USA,Florida,"Round Island Park, Indian River County",Surfing,M,0
1089,2007.11.03,2007.11.03,2007,11,08:45,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,M,0
1090,2007.11.00,2007.11.00,2007,11,Unknown,MEXICO,Baja California,Guadalupe Island,Diving,M,0
1091,2007.10.29,2007.10.29,2007,10,15:30,USA,Hawaii,"Wailea, Maui",Others,M,0
1092,2007.10.15,2007.10.15,2007,10,11:30,AUSTRALIA,New South Wales,Byron Bay,Others,F,0
1093,2007.10.13,2007.10.13,2007,10,12:00,AUSTRALIA,Queensland,Holmes Reef,Fishing,M,0
1094,2007.10.07,2007.10.07,2007,10,20:30,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,0
1095,2007.10.06,2007.10.06,2007,10,08:10,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,0
1096,2007.09.30.c,2007.09.30,2007,09,11:30,USA,California,"Santa Monica, Los Angeles County",Surfing,M,0
1097,2007.09.30.b,2007.09.30,2007,09,14:40,PHILIPPINES,Palawan,Off Cagayancillo,Others,M,1
1098,2007.09.30.a,2007.09.30,2007,09,Unknown,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,1
1099,2007.09.28,2007.09.28,2007,09,12:00,BAHAMAS,Grand Bahama Island,Sweetings Cay,Fishing,F,0
1100,2007.09.27.b,2007.09.27,2007,09,08:15,USA,California,"Moonstone Beach, Humboldt County",Surfing,F,0
1101,2007.09.27.a,2007.09.27,2007,09,07:00,EGYPT,Red Sea,Daedalus Reef,Swimming,F,0
1102,2007.09.22.b,2007.09.22,2007,09,Unknown,USA,Florida,Jupiter Inlet,Diving,F,1
1103,2007.09.22.a,2007.09.22,2007,09,Unknown,USA,Florida,Huguenot Park,Surfing,F,0
1104,2007.09.20,2007.09.20,2007,09,18:20,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1105,2007.09.17,2007.09.17,2007,09,Unknown,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Fishing,M,0
1106,2007.09.16.b,2007.09.16,2007,09,11:15,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1107,2007.09.16.a,2007.09.16,2007,09,Unknown,USA,Florida,"Flagler Beach, Flagler County",Surfing,F,0
1108,2007.09.13,2007.09.13,2007,09,16:00,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Others,M,0
1109,2007.09.08,2007.09.08,2007,09,11:45,USA,Florida,"Pepper Park Beach, St. Lucie County",Others,F,0
1110,2007.09.05,2007.09.05,2007,09,13:42,USA,Florida,"Daytona Beach, Volusia County",Others,F,0
1111,2007.09.04,2007.09.04,2007,09,18:30,USA,South Carolina,Sullivan's Island,Others,M,0
1112,2007.09.03.b,2007.09.03,2007,09,Unknown,USA,Florida,"Daytona Beach, Volusia County",Others,F,0
1113,2007.09.03.a,2007.09.03,2007,09,09:45,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,0
1114,2007.08.28.b,2007.08.28,2007,08,16:30,USA,Hawaii,"Ka'a'awa, Oahu",Others,M,0
1115,2007.08.28.a,2007.08.28,2007,08,10:45,USA,California,"Marina State Beach, Monterey County",Surfing,M,0
1116,2007.08.26,2007.08.26,2007,08,14:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1117,2007.08.25,2007.08.25,2007,08,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1118,2007.08.22,2007.08.22,2007,08,Unknown,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,M,0
1119,2007.08.20,2007.08.20,2007,08,19:45,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,M,0
1120,2007.08.19.c,2007.08.19,2007,08,20:15,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,0
1121,2007.08.19.b,2007.08.19,2007,08,12:39,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1122,2007.08.19.a.,2007.08.19.a.,2007,08,10:00,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Others,M,0
1123,2007.08.15,2007.08.15,2007,08,Unknown,USA,Florida,Sarasota Bay,Others,M,0
1124,2007.08.12,2007.08.12,2007,08,17:35,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,0
1125,2007.08.11,2007.08.11,2007,08,18:00,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Surfing,M,0
1126,2007.08.09.b,2007.08.09,2007,08,16:40,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,0
1127,2007.08.09.a,2007.08.09,2007,08,14:00,USA,South Carolina,"Isle of Palms, Charleston County",Others,M,0
1128,2007.08.07,2007.08.07,2007,08,Unknown,USA,Florida,"Islamorada, Monroe County",Others,F,0
1129,2007.07.29,2007.07.29,2007,07,Unknown,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,0
1130,2007.07.28,2007.07.28,2007,07,23:00,USA,California,"Imperial Beach, San Diego County",Surfing,M,0
1131,2007.07.22,2007.07.22,2007,07,Unknown,USA,California,"Malibu, Los Angeles County",Surfing,M,0
1132,2007.07.21,2007.07.21,2007,07,10:15,USA,California,"Bean Hollow State Beach, San Mateo County",Fishing,M,0
1133,2007.07.19.b,2007.07.19,2007,07,15:15,USA,Hawaii,"Bellows Beach near Wailea Point, O’ahu",Others,M,0
1134,2007.07.19.a,2007.07.19,2007,07,11:00,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Others,M,0
1135,2007.07.18.b,2007.07.18,2007,07,12:30,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,0
1136,2007.07.18.a,2007.07.18,2007,07,Unknown,NORWAY,Oslo Fjord,Sjøstrand,Diving,M,0
1137,2007.07.17.b,2007.07.17,2007,07,11:00,USA,California,"Faria Beach, Ventura County",Swimming,F,0
1138,2007.07.17.a,2007.07.17,2007,07,13:00,USA,North Carolina,"Atlantic Beach, Carteret County",Others,F,0
1139,2007.07.10,2007.07.10,2007,07,11:00,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Fishing,F,0
1140,2007.07.05,2007.07.05,2007,07,16:00,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,0
1141,2007.07.04,2007.07.04,2007,07,14:30,REUNION,,Boucan Canot,Others,M,0
1142,2007.07.00,2007.07.00,2007,07,Unknown,SENEGAL,,,Others,,0
1143,2007.06.30.b,2007.06.30,2007,06,Unknown,USA,Florida,Marques Island,Others,M,0
1144,2007.06.30.a,2007.06.30,2007,06,10:00,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,0
1145,2007.06.25,2007.06.25,2007,06,17:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1146,2007.06.24,2007.06.24,2007,06,07:05,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,0
1147,2007.06.17,2007.06.17,2007,06,16:30,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,F,0
1148,2007.06.12,2007.06.12,2007,06,11:00,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,0
1149,2007.06.05,2007.06.05,2007,06,Unknown,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,0
1150,2007.05.26,2007.05.26,2007,05,17:00,USA,South Carolina,Garden City,Others,F,0
1151,2007.05.24,2007.05.24,2007,05,Unknown,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach",Others,F,0
1152,2007.05.17.R,2007.05.17,2007,05,Unknown,UNITED KINGDOM,Kent,Folkestone,Fishing,M,0
1153,2007.05.16,2007.05.16,2007,05,14:30,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Others,F,0
1154,2007.05.12,2007.05.12,2007,05,17:45,AUSTRALIA,Victoria,Warrnambool,Surfing,M,0
1155,2007.05.10,2007.05.10,2007,05,16:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,0
1156,2007.05.09.R,2007.05.09,2007,05,Unknown,SEYCHELLES,Bird Island,,Others,M,0
1157,2007.05.08,2007.05.08,2007,05,12:15,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,M,1
1158,2007.05.07.b,2007.05.07,2007,05,08:30,USA,Hawaii,"Keawakapu Beach, Maui",Others,F,0
1159,2007.05.07.a,2007.05.07,2007,05,08:30,USA,Florida,Naples,Swimming,M,0
1160,2007.05.04,2007.05.04,2007,05,Unknown,TURKS & CAICOS,Providenciales,,Others,,1
1161,2007.05.00,2007.05.00,2007,05,Unknown,BAHAMAS,Bimini Islands,,Others,F,0
1162,2007.04.26,2007.04.26,2007,04,18:00,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming,F,0
1163,2007.04.22,2007.04.22,2007,04,12:30,USA,Florida,"Hutchinson Island, St. Lucie County",Others,M,0
1164,2007.04.20,2007.04.20,2007,04,17:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1165,2007.04.13.R,2007.04.13,2007,04,Unknown,USA,Florida,"Florida Keys, Monroe County",Fishing,,0
1166,2007.04.09,2007.04.09,2007,04,16:00,NEW CALEDONIA,South Province,Dumbéa,Surfing,M,0
1167,2007.04.01,2007.04.01,2007,04,13:05,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1168,2007.03.31.b,2007.03.31,2007,03,14:20,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,0
1169,2007.03.31.a,2007.03.31,2007,03,13:20,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Others,M,0
1170,2007.03.22,2007.03.22,2007,03,Unknown,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Others,,1
1171,2007.03.21,2007.03.21,2007,03,Unknown,USA,Florida,Jupiter Inlet,Surfing,M,0
1172,2007.03.20,2007.03.20,2007,03,10:00,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,0
1173,2007.03.14.R,2007.03.14,2007,03,Unknown,USA,Florida,Delray Beach,Fishing,M,0
1174,2007.03.12,2007.03.12,2007,03,15:30,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,0
1175,2007.03.11,2007.03.11,2007,03,13:00,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,0
1176,2007.03.05.R,2007.03.05,2007,03,Unknown,NEW ZEALAND,Cook islans,Penhryn Island,Fishing,M,0
1177,2007.02.04,2007.02.04,2007,02,Unknown,COSTA RICA,,,Swimming,M,1
1178,2007.02.03,2007.02.03,2007,02,08:00,AUSTRALIA,New South Wales,Shelly Beach,Others,M,0
1179,2007.02.00,2007.02.00,2007,02,Unknown,NEW CALEDONIA,Loyalty Islands,Ouvéa,Fishing,M,0
1180,2007.01.25.b,2007.01.25,2007,01,14:00,NEW CALEDONIA,North Province,Kaala-Gomen,Fishing,M,0
1181,2007.01.25.a,2007.01.25,2007,01,03:30,USA,Florida,100 miles off Ft. Myers Beach,Others,,0
1182,2007.01.23,2007.01.23,2007,01,10:30,AUSTRALIA,New South Wales,Cape Howe,Diving,M,0
1183,2007.01.19,2007.01.19,2007,01,Unknown,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,M,1
1184,2007.01.14,2007.01.14,2007,01,Unknown,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,1
1185,2007.01.09,2007.01.09,2007,01,06:30,AUSTRALIA,New South Wales,Sandbar Beach,Surfing,M,0
1186,2007.01.07,2007.01.07,2007,01,14:00,USA,New York,"Smith Point, Long Island",Surfing,M,0
1187,2007.01.05,2007.01.05,2007,01,10:15,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,M,0
1188,2006.12.18,2006.12.18,2006,12,20:00,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,M,0
1189,2006.12.11,2006.12.11,2006,12,11:00,NEW ZEALAND,North Island,"Raglan, Manu Bay",Surfing,M,0
1190,2006.12.10,2006.12.10,2006,12,11:50,USA,California,"Dillon Beach, Marin County",Surfing,M,0
1191,2006.12.06,2006.12.06,2006,12,Unknown,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,M,0
1192,2006.12.02,2006.12.02,2006,12,07:30,AUSTRALIA,Western Australia,Wharton Beach,Others,M,0
1193,2006.11.25,2006.11.25,2006,11,14:20,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Others,,1
1194,2006.11.11,2006.11.11,2006,11,12:30,USA,Hawaii,"Kihei, Maui",Swimming,M,0
1195,2006.11.09,2006.11.09,2006,11,Unknown,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Others,M,0
1196,2006.10.31,2006.10.31,2006,10,Unknown,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,0
1197,2006.10.16,2006.10.16,2006,10,Unknown,USA,Florida,Sebastian Inlet,Fishing,M,0
1198,2006.10.10,2006.10.10,2006,10,11:30,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,0
1199,2006.10.07,2006.10.07,2006,10,Unknown,USA,Texas,"Isla Blanca Park, South Padre Island",Surfing,M,0
1200,2006.10.05,2006.10.05,2006,10,12:00,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1201,2006.10.00.b,2006.10.00,2006,10,Unknown,BAHAMAS,New Providence Island,Nassau,Diving,F,0
1202,2006.10.00.a,2006.10.00,2006,10,Unknown,GULF OF ADEN,Between Somalia & Yemen,,Others,,1
1203,2006.09.30,2006.09.30,2006,09,Unknown,SOUTH AFRICA,Western Cape Province,Miller's Point,Fishing,M,0
1204,2006.09.29,2006.09.29,2006,09,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1205,2006.09.18.R,2006.09.18,2006,09,Unknown,USA,Florida,"Off Key Largo, Monroe County",Diving,M,0
1206,2006.09.16,2006.09.16,2006,09,Unknown,USA,North Carolina,Onslow Beach,Surfing,M,0
1207,2006.09.14,2006.09.14,2006,09,14:00,USA,Florida,"Singer Island, Riviera Beach",Swimming,M,0
1208,2006.09.11,2006.09.11,2006,09,Unknown,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1209,2006.09.04,2006.09.04,2006,09,11:00,AUSTRALIA,Queensland,Great Barrier Reef ,Diving,M,1
1210,2006.09.03.b,2006.09.03,2006,09,13:00,BRAZIL,,,Others,M,1
1211,2006.09.03.a,2006.09.03,2006,09,17:30,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1212,2006.09.02,2006.09.02,2006,09,17:55,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,0
1213,2006.09.02,2006.09.02,2006,09,Unknown,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,0
1214,2006.08.29.b,2006.08.29,2006,08,Unknown,USA,Oregon,"Florence, Lane County",Surfing,M,0
1215,2006.08.29.a,2006.08.29,2006,08,16:00,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",Surfing,M,0
1216,2006.08.27,2006.08.27,2006,08,18:00,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",Others,M,0
1217,2006.08.22.b,2006.08.22,2006,08,Unknown,BRAZIL,Pernambuco,Pina,Others,M,1
1218,2006.08.22.a,2006.08.22,2006,08,Unknown,BELIZE,Ambergris Caye,Near Ramon's Village,Fishing,M,1
1219,2006.08.20.b,2006.08.20,2006,08,Unknown,ITALY,,Lampedusa Island,Others,M,1
1220,2006.08.20.a,2006.08.20,2006,08,11:00,REUNION,Saint-Pierre,Pointe du Diable,Surfing,M,1
1221,2006.08.15,2006.08.15,2006,08,Unknown,SOUTH AFRICA,Western Cape Province,Danger Reef,Surfing,M,0
1222,2006.08.13,2006.08.13,2006,08,11:00,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Others,M,0
1223,2006.08.00.b,2006.08.00,2006,08,12:00,USA,North Carolina,"Masonboro Island, New Hanover County",Others,F,0
1224,2006.08.00.a,2006.08.00,2006,08,Unknown,REUNION,,Le Port,Fishing,M,0
1225,2006.07.31.R,2006.07.31,2006,07,Unknown,USA,Kentucky,"Newport Aquarium, Newport",Others,,0
1226,2006.07.31.a,2006.07.31,2006,07,16:00,USA,Oregon,Oswald State Park,Surfing,M,0
1227,2006.07.29.b,2006.07.29,2006,07,Unknown,USA,California,"Broad Beach, Malibu, Los Angeles County",Others,M,0
1228,2006.07.29.a,2006.07.29,2006,07,Unknown,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,0
1229,2006.07.28,2006.07.28,2006,07,16:30,SOUTH AFRICA,Western Cape Province,Fish Hoek,Others,M,0
1230,2006.07.25,2006.07.25,2006,07,13:45,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1231,2006.07.23,2006.07.23,2006,07,Unknown,USA,Texas,"Sargent Beach, Matagorda County",Surfing,M,0
1232,2006.07.17.R,2006.07.17,2006,07,Unknown,AUSTRALIA,Torres Strait,Western Province,Others,,0
1233,2006.07.17,2006.07.17,2006,07,10:00,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Others,M,0
1234,2006.07.13,2006.07.13,2006,07,Unknown,SPAIN,Alicante,San Juan Beach ,Swimming,F,0
1235,2006.07.12,2006.07.12,2006,07,13:30,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,0
1236,2006.07.10,2006.07.10,2006,07,Unknown,BRAZIL,Pernambuco,Body recovered at Goiana,Others,M,1
1237,2006.07.09.b,2006.07.09,2006,07,17:00,USA,Florida,"New Smyrna Beach, Volusia County",Others,M,0
1238,2006.07.09.a,2006.07.09,2006,07,13:00,USA,Florida,"Ponte Vedra Beach, St Johns County",Others,M,0
1239,2006.07.08.b,2006.07.08,2006,07,11:00,USA,South Carolina,"Debordieu Beach, Georgetown County",Others,F,0
1240,2006.07.08.a,2006.07.08,2006,07,13:00,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,0
1241,2006.06.30.b,2006.06.30,2006,06,Unknown,USA,Florida,"Florida Keys, Monroe County",Fishing,F,0
1242,2006.06.30.a,2006.06.30,2006,06,Unknown,USA,Florida,"Florida Keys, Monroe County",Fishing,M,0
1243,2006.06.27,2006.06.27,2006,06,11:10,USA,Florida,"Hutchinson Island, St. Lucie County",Others,F,0
1244,2006.06.26,2006.06.26,2006,06,Unknown,USA,Florida,Fort Myers,Fishing,M,0
1245,2006.06.24,2006.06.24,2006,06,13:00,BAHAMAS,Andros Islands,Mangrove Cay,Fishing,M,0
1246,2006.06.20,2006.06.20,2006,06,13:00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,0
1247,2006.06.18,2006.06.18,2006,06,09:00,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Others,M,1
1248,2006.06.17,2006.06.17,2006,06,11:10,USA,California,"Monterey, Monterey County",Diving,M,0
1249,2006.06.15,2006.06.15,2006,06,15:30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0
1250,2006.06.07,2006.06.07,2006,06,13:45,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Others,F,0
1251,2006.06.05,2006.06.05,2006,06,11:30,AUSTRALIA,South Australia,Waitpinga,Surfing,M,0
